CNPJ_Fundo,Data_Referencia,Versao,Nome_Imovel,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
26.502.761/0001-35,2018-12-31,1,ESCRITÓRIO 1901,"AVENIDA NAÇÕES UNIDAS, 12901, BLOCO C, SÃO PAULO - SP",2018-08-28,520.34,1.0,conjunto comercial,1.0,
26.502.761/0001-35,2018-12-31,1,ESCRITÓRIO 1902,"AVENIDA NAÇÕES UNIDAS, 12901, BLOCO C, SÃO PAULO - SP",2018-08-28,504.48,1.0,conjunto comercial,1.0,
28.152.272/0001-26,2018-03-31,2,Não aplicável,Não aplicável,1899-12-31,0.0,1.0,Não aplicável,0.0,0.0
28.152.272/0001-26,2018-06-30,1,,,1899-12-31,0.0,1.0,,0.0,0.0
28.516.650/0001-03,2018-03-31,1,Não aplicável,Não aplicável,1899-12-31,0.0,1.0,Não aplicável,0.0,0.0
28.516.650/0001-03,2018-06-30,1,,,1899-12-31,0.0,1.0,,0.0,0.0
28.516.650/0001-03,2018-09-30,1,,,1899-12-31,0.0,1.0,,0.0,0.0
28.516.650/0001-03,2018-12-31,1,,,1899-12-31,0.0,1.0,,0.0,0.0
28.693.595/0001-27,2018-03-31,1,Não Aplicavel,Não Aplicavel,1899-12-31,0.0,1.0,0,0.0,0.0
28.693.595/0001-27,2018-06-30,1,,,1899-12-31,0.0,1.0,,0.0,0.0
28.693.595/0001-27,2018-09-30,1,,,1899-12-31,0.0,1.0,,0.0,0.0
28.693.595/0001-27,2018-12-31,1,,,1899-12-31,0.0,1.0,,0.0,0.0
28.893.734/0001-66,2018-06-29,1,LUMIERE_75179,"Avenida Engenheiro Miguel Gemma, 1399, 12º Andar, Apto 123, Socoro, Mogi das Cruzes - SP",2018-05-08,100.12,1.0,Nenhuma característica relevante.,0.025509,0.008403
28.893.734/0001-66,2018-09-28,1,LUMIERE_75185,"Avenida Engenheiro Miguel Gemma, 1399, 14º Andar, Apto 141, Socoro, Mogi das Cruzes - SP",2018-08-06,100.12,1.0,Nenhuma característica relevante.,0.008651,0.008402
28.893.734/0001-66,2018-09-28,1,RESERVATTO_121029,"Rua Estácio de Sá, 755- Apto nº 1203 - 12 andar - Gutierrez - Belo Horizonte - MG",2018-09-26,159.64,1.0,Nenhuma característica relevante.,0.023911,0.022785
28.893.734/0001-66,2018-09-28,1,RESERVATTO_121030,"Rua Estácio de Sá, 755- Apto nº 1301 - 13 andar - Gutierrez - Belo Horizonte - MG",2018-08-17,154.84,1.0,Nenhuma característica relevante.,0.023509,0.022785
28.893.734/0001-66,2018-09-28,1,RESERVATTO_121032,"Rua Estácio de Sá, 755- Apto nº 1303 - 13 andar - Gutierrez - Belo Horizonte - MG",2018-09-05,159.64,1.0,Nenhuma característica relevante,0.023836,0.022963
28.893.734/0001-66,2018-09-28,1,RESERVATTO_121039,"Rua Estácio de Sá, 755- Apto nº 1601 - 16 andar - Gutierrez - Belo Horizonte - MG",2018-09-05,154.84,1.0,Nenhuma característica relevante.,0.024021,0.023141
28.893.734/0001-66,2018-09-28,1,RESERVATTO_121048,"Rua Estácio de Sá, 755- Apto nº 1901 - 19 andar - Gutierrez - Belo Horizonte - MG",2018-08-30,15484.0,1.0,Nenhuma característica relevante,0.023917,0.023141
28.893.734/0001-66,2018-09-28,1,SELETTOD_158390,"Av. Nossa Senhora do Carmo, 644 - Apto nº 1503 - 15 andar -Centro - Betim - MG",2018-09-21,72.18,1.0,Nenhuma característica relevante,0.005255,0.005022
28.893.734/0001-66,2018-09-28,1,SELETTOD_158356,"Av. Nossa Senhora do Carmo, 644 - Apto nº 701 - 7 andar -Centro - Betim - MG",2018-09-13,72.18,1.0,Nenhuma característica relevante,0.004866,0.004664
28.893.734/0001-66,2018-09-28,1,SELETTOD_158359,"Av. Nossa Senhora do Carmo, 644 - Apto nº 704 - 7 andar -Centro - Betim - MG",2018-09-13,72.18,1.0,Nenhuma característica relevante,0.004866,0.004664
28.893.734/0001-66,2018-09-28,1,SELETTOD_158360,"Av. Nossa Senhora do Carmo, 644 - Apto nº 801 - 8 andar -Centro - Betim - MG",2018-09-18,72.18,1.0,Nenhuma característica relevante,0.004876,0.004664
28.893.734/0001-66,2018-09-28,1,SELETTOD_158362,"Av. Nossa Senhora do Carmo, 644 - Apto nº 803 - 8 andar -Centro - Betim - MG",2018-09-14,72.18,1.0,Nenhuma característica relevante,0.004981,0.004767
28.893.734/0001-66,2018-09-28,1,SELETTOD_158363,"Av. Nossa Senhora do Carmo, 644 - Apto nº 804 - 8 andar -Centro - Betim - MG",2018-09-13,72.18,1.0,Nenhuma característica relevante,0.004866,0.004664
28.893.734/0001-66,2018-09-28,1,SELETTOS_158400,"Av. Nossa Senhora do Carmo, 644 - Apto nº 301 - 3 andar -Centro - Betim - MG",2018-09-13,121.26,1.0,Nenhuma característica relevante,0.006153,0.005897
28.893.734/0001-66,2018-09-28,1,SELETTOS_158403,"Av. Nossa Senhora do Carmo, 644 - Apto nº 304 - 3 andar -Centro - Betim - MG",2018-09-13,111.76,1.0,Nenhuma característica relevante,0.005981,0.005732
28.893.734/0001-66,2018-09-28,1,SELETTOS_158413,"Av. Nossa Senhora do Carmo, 644 - Apto nº 602 - 6 andar -Centro - Betim - MG",2018-09-20,84.36,1.0,Nenhuma característica relevante,0.005788,0.005534
28.893.734/0001-66,2018-09-28,1,SELETTOS_158418,"Av. Nossa Senhora do Carmo, 644 - Apto nº 703 - 7 andar -Centro - Betim - MG",2018-09-13,84.36,1.0,Nenhuma característica relevante,0.005832,0.005589
28.893.734/0001-66,2018-09-28,1,SELETTOS_158420,"Av. Nossa Senhora do Carmo, 644 - Apto nº 801 - 8 andar -Centro - Betim - MG",2018-09-14,84.36,1.0,Nenhuma característica relevante,0.005782,0.005534
28.893.734/0001-66,2018-09-28,1,SELETTOS_158424,"Av. Nossa Senhora do Carmo, 644 - Apto nº 901 - 9 andar -Centro - Betim - MG",2018-09-14,84.36,1.0,Nenhuma característica relevante,0.006138,0.005874
28.893.734/0001-66,2018-12-31,1,ALLEGRO_86366,"Rua Capitão Paulino Freire, 300, 1º Andar, Apto 12, Centro, Mogi das Cruzes - SP",2018-11-01,70.76,1.0,Nenhuma característica relevante.,0.004141,0.002024
28.893.734/0001-66,2018-12-31,1,ALLEGRO_86368,"Rua Capitão Paulino Freire, 300, 1º Andar, Apto 14, Centro, Mogi das Cruzes - SP",2018-11-01,70.76,1.0,Nenhuma característica relevante.,0.004221,0.002063
28.893.734/0001-66,2018-12-31,1,ALLEGRO_86386,"Rua Capitão Paulino Freire, 300, 6º Andar, Apto 63, Centro, Mogi das Cruzes - SP",2018-12-24,70.76,1.0,Nenhuma característica relevante.,0.002065,0.002113
28.893.734/0001-66,2018-12-31,1,ALLEGRO_86394,"Rua Capitão Paulino Freire, 300, 8º Andar, Apto 83, Centro, Mogi das Cruzes - SP",2018-10-02,70.76,1.0,Nenhuma característica relevante.,0.006386,0.002257
28.893.734/0001-66,2018-12-31,1,ALLEGRO_86404,"Rua Capitão Paulino Freire, 300, 11º Andar, Apto 111, Centro, Mogi das Cruzes - SP",2018-10-26,70.76,1.0,Nenhuma característica relevante.,0.006176,0.002179
28.893.734/0001-66,2018-12-31,1,FELICITTA_72466,"Rua Presidente Campos Salles, 1370, 11º Andar, Apto 111, Alto Ipiranga, Mogi das Cruzes - SP",2018-11-23,126.6,1.0,Nenhuma característica relevante.,0.009382,0.004602
28.893.734/0001-66,2018-12-31,1,SELETTOD_158370,"Av. Nossa Senhora do Carmo, 644 - Apto nº 1003 - 10 andar -Centro - Betim - MG",2018-10-18,72.18,1.0,Nenhuma característica relevante,0.005287,0.001866
28.893.734/0001-66,2018-12-31,1,SELETTOD_158379,"Av. Nossa Senhora do Carmo, 644 - Apto nº 1204 - 12 andar -Centro - Betim - MG",2018-12-04,72.18,1.0,Nenhuma característica relevante,0.003845,0.001885
28.893.734/0001-66,2018-12-31,1,SELETTOD_158391,"Av. Nossa Senhora do Carmo, 644 - Apto nº 1504 - 15 andar -Centro - Betim - MG",2018-10-29,72.18,1.0,Nenhuma característica relevante,0.003857,0.001866
28.893.734/0001-66,2018-12-31,1,SELETTOD_158394,"Av. Nossa Senhora do Carmo, 644 - Apto nº 1603 - 16 andar -Centro - Betim - MG",2018-11-26,72.18,1.0,Nenhuma característica relevante,0.003946,0.001935
28.893.734/0001-66,2018-12-31,1,SELETTOS_158415,"Av. Nossa Senhora do Carmo, 644 - Apto nº 604 - 6 andar -Centro - Betim - MG",2018-11-08,84.36,1.0,Nenhuma característica relevante,0.004321,0.002118
28.893.734/0001-66,2018-12-31,1,SELETTOS_158427,"Av. Nossa Senhora do Carmo, 644 - Apto nº 904 - 9 andar -Centro - Betim - MG",2018-10-18,84.36,1.0,Nenhuma característica relevante,0.006048,0.002135
01.235.622/0001-61,2019-03-29,3,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2019-03-31,604.87,5.0,Construção própia,0.033587,0.001758
01.235.622/0001-61,2019-03-29,3,Highline,"R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES",2019-03-31,647.58,8.0,Construção própia,0.050941,0.002471
01.235.622/0001-61,2019-03-29,3,Estoque Diversos,"Av. Carlos Moreira Lima, nº 460, Vitória-ES /  Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES / Rua Dona Tereza Cristina, no. 179, Colinas de Laranjeiras, Município da Serra/ES",2019-03-31,65.69,1.0,Aquisição de unidades prontas,0.003648,7.9e-05
01.235.622/0001-61,2019-03-29,3,Tijuca All Ways,"Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ",2019-03-31,3861.0,42.0,Construção própia,0.357315,0.015185
01.235.622/0001-61,2019-03-29,3,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2019-03-31,53.58,1.0,Construção própia,0.003967,9.1e-05
01.235.622/0001-61,2019-03-29,3,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-03-31,80.3,1.0,Construção própia,0.004459,0.000212
01.235.622/0001-61,2019-03-29,3,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",2019-03-31,67.3,1.0,Aquisição de unidades prontas,0.004671,0.000216
01.235.622/0001-61,2019-03-29,3,Park Square,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",2019-03-31,306.31,3.0,Aquisição de unidades prontas,0.019843,0.001119
01.235.622/0001-61,2019-03-29,3,Aretê,"Praia Rasa, Buzios - RJ",2019-03-31,2173.76,4.0,Construção própia,0.140819,0.002906
01.235.622/0001-61,2019-03-29,3,Icono Parque,"Rua Machado de Assis, 40",2019-03-31,3447.78,44.0,Construção própia,0.398842,0.021884
01.235.622/0001-61,2019-03-29,3,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2019-03-31,453.67,13.0,Construção própia,0.041985,0.002213
01.235.622/0001-61,2019-03-29,3,Seasons,"Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ",2019-03-31,58.67,1.0,Aquisição de unidades prontas,0.002715,0.00014
01.235.622/0001-61,2019-03-29,3,Torre Presidente JDK,"Rua Presidente Vargas, 1121, Centro, Rio de Janeiro - RJ",2019-03-31,18867.0,1.0,Construção própia,0.22725,0.0646
01.235.622/0001-61,2019-06-28,3,Aretê,"Praia Rasa, Buzios - RJ",2019-06-30,935.58,4.0,Construção própia,0.04523,0.003186
01.235.622/0001-61,2019-06-28,3,The Gallery,"R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES",2019-06-30,3018.04,34.0,Construção própia,0.190103,0.013392
01.235.622/0001-61,2019-06-28,3,Highlight - Jardim Botafogo,"Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ",2019-06-30,3767.49,42.0,Construção própia,0.401893,0.028313
01.235.622/0001-61,2019-06-28,3,Highline,"R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES",2019-06-30,504.28,5.0,Construção própia,0.02817,0.001985
01.235.622/0001-61,2019-06-28,3,Hub - Coliving,"Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ",2019-06-30,301.0,8.0,Construção própia,0.020381,0.001436
01.235.622/0001-61,2019-06-28,3,Icono Parque,"Rua Machado de Assis, 40",2019-06-30,1989.74,28.0,Construção própia,0.266097,0.018746
01.235.622/0001-61,2019-06-28,3,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-06-30,73.06,1.0,Construção própia,0.002781,0.000196
01.235.622/0001-61,2019-06-28,3,Tijuca All Ways,"Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ",2019-06-30,430.42,7.0,Construção própia,0.025664,0.001808
01.235.622/0001-61,2019-06-28,3,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",2019-06-30,316.17,4.0,Aquisição de unidades prontas,0.01377,0.00097
01.235.622/0001-61,2019-06-28,3,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2019-06-30,43.57,1.0,Construção própia,0.00235,0.000166
01.235.622/0001-61,2019-06-28,3,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2019-06-30,48.86,1.0,Construção própia,0.003562,0.000251
01.235.622/0001-61,2019-09-30,2,Aretê,"Praia Rasa, Buzios - RJ",2019-09-30,3046.36,3.0,Construção própia,0.046910906716943,0.0031775272992553
01.235.622/0001-61,2019-09-30,2,The Gallery,"R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES",2019-09-30,586.77,5.0,Construção própia,0.0383260389445391,0.0025960281636298
01.235.622/0001-61,2019-09-30,2,Highlight - Jardim Botafogo,"Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ",2019-09-30,4329.34,49.0,Construção própia,0.447188973438026,0.0302905074847354
01.235.622/0001-61,2019-09-30,2,Highline,"R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES",2019-09-30,941.13,12.0,Construção própia,0.0438744682756782,0.0029718530389421
01.235.622/0001-61,2019-09-30,2,Hub - Coliving,"Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ",2019-09-30,410.43,11.0,Construção própia,0.0302501391791274,0.002049004160758
01.235.622/0001-61,2019-09-30,2,Icono Parque,"Rua Machado de Assis, 40",2019-09-30,2880.43,39.0,Construção própia,0.286072770818908,0.0193772430009838
01.235.622/0001-61,2019-09-30,2,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-09-30,136.53,2.0,Construção própia,0.0053019347207728,0.0003591284733799
01.235.622/0001-61,2019-09-30,2,Tijuca All Ways,"Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ",2019-09-30,895.71,13.0,Construção própia,0.0418679997237928,0.0028359441630557
01.235.622/0001-61,2019-09-30,2,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2019-09-30,32.46,1.0,Construção própia,0.0018003173924526,0.0001219451522512
01.235.622/0001-61,2019-09-30,2,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2019-09-30,1.0,1.0,Construção própia,0.0024235041821477,0.0001641569357228
01.235.622/0001-61,2019-09-30,2,Miraggio,"Rua Eurico Manoel do Carmos, 2, Charitas, Niterói - RJ",2019-09-30,304.81,2.0,Construção própia,0.0221092824388505,0.0014975802736087
01.235.622/0001-61,2019-09-30,2,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2019-09-30,364.0,4.0,Construção própia,0.015995127602175,0.0010834357757708
01.235.622/0001-61,2019-09-30,2,Park Square,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",2019-09-30,338.54,4.0,Compra de Imóvel Pronto,0.0178785365665869,0.0012110091658182
01.235.622/0001-61,2019-12-31,2,Aretê,"Praia Rasa, Buzios - RJ",2019-12-31,3046.36,3.0,Construção própia,0.046910906716943,0.0031775272992553
01.235.622/0001-61,2019-12-31,2,The Gallery,"R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES",2019-12-31,586.77,5.0,Construção própia,0.0383260389445391,0.0025960281636298
01.235.622/0001-61,2019-12-31,2,Highlight - Jardim Botafogo,"Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ",2019-12-31,4329.34,49.0,Construção própia,0.447188973438026,0.0302905074847354
01.235.622/0001-61,2019-12-31,2,Highline,"R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES",2019-12-31,941.13,12.0,Construção própia,0.0438744682756782,0.0029718530389421
01.235.622/0001-61,2019-12-31,2,Hub - Coliving,"Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ",2019-12-31,410.43,11.0,Construção própia,0.0302501391791274,0.002049004160758
01.235.622/0001-61,2019-12-31,2,Icono Parque,"Rua Machado de Assis, 40",2019-12-31,2880.43,39.0,Construção própia,0.286072770818908,0.0193772430009838
01.235.622/0001-61,2019-12-31,2,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2019-12-31,136.53,2.0,Construção própia,0.0053019347207728,0.0003591284733799
01.235.622/0001-61,2019-12-31,2,Tijuca All Ways,"Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ",2019-12-31,895.71,13.0,Construção própia,0.0418679997237928,0.0028359441630557
01.235.622/0001-61,2019-12-31,2,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2019-12-31,32.46,1.0,Construção própia,0.0018003173924526,0.0001219451522512
01.235.622/0001-61,2019-12-31,2,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2019-12-31,1.0,1.0,Construção própia,0.0024235041821477,0.0001641569357228
01.235.622/0001-61,2019-12-31,2,Miraggio,"Rua Eurico Manoel do Carmos, 2, Charitas, Niterói - RJ",2019-12-31,304.81,2.0,Construção própia,0.0221092824388505,0.0014975802736087
01.235.622/0001-61,2019-12-31,2,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2019-12-31,364.0,4.0,Construção própia,0.015995127602175,0.0010834357757708
01.235.622/0001-61,2019-12-31,2,Park Square,"Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói",2019-12-31,338.54,4.0,Compra de Imóvel Pronto,0.0178785365665869,0.0012110091658182
07.583.627/0001-61,2019-03-31,1,Não Aplicavel,0,1899-12-31,0.0,1.0,0,0.0,0.0
07.583.627/0001-61,2019-06-30,1,Não Aplicavel,0,1899-12-31,0.0,1.0,0,0.0,0.0
07.583.627/0001-61,2019-09-30,1,Não Aplicavel,0,1899-12-31,0.0,1.0,0,0.0,0.0
07.583.627/0001-61,2019-12-31,1,Não Aplicavel,0,1899-12-31,0.0,1.0,0,0.0,0.0
08.706.065/0001-69,2019-03-29,1,Estanplaza Funchal - 501,"Rua Funchal, nº 281",2019-03-28,26.55,1.0,Direito de Propriedade,0.000416,0.000406
08.706.065/0001-69,2019-03-29,1,Intercity Premium Ibirapuera - 406,"Avenida Ibirapuera, nº 2.577",2019-03-14,26.6,1.0,Direito de Propriedade,0.000435,0.000424
08.706.065/0001-69,2019-03-29,1,Intercity Premium Ibirapuera - 1406,"Avenida Ibirapuera, nº 2.577",2019-02-27,26.6,1.0,Direito de Propriedade,0.000449,0.000437
08.706.065/0001-69,2019-03-29,1,Intercity Premium Ibirapuera - 505,"Avenida Ibirapuera, nº 2.577",2019-01-28,26.6,1.0,Direito de Propriedade,0.000449,0.000437
08.706.065/0001-69,2019-03-29,1,Intercity Nações Unidas - 305,"Rua Fernandes Moreira, nº 1.371",2019-01-10,25.35,1.0,Direito de Propriedade,0.000428,0.000416
08.706.065/0001-69,2019-03-29,1,Intercity Premium Ibirapuera - 501,"Avenida Ibirapuera, nº 2.577",2019-01-24,26.6,1.0,Direito de Propriedade,0.000453,0.00044
08.706.065/0001-69,2019-03-29,1,Tryp Berrini - 907,"Rua Quintana, nº 963",2019-01-17,28.21,1.0,Direito de Propriedade,0.001249,0.001213
08.706.065/0001-69,2019-06-30,1,Intercity Premium Ibirapuera - 506,"Av. Ibirapuera, 2577 - Indianópolis -  CEP: 04029-200",2019-04-04,26.6,1.0,Direito de Propriedade,0.000437,0.000443
08.706.065/0001-69,2019-06-30,1,Intercity Premium Ibirapuera - 1405,"Av. Ibirapuera, 2577 - Indianópolis -  CEP: 04029-200",2019-04-08,26.6,1.0,Direito de Propriedade,0.000407,0.000413
08.706.065/0001-69,2019-06-30,1,Intercity Premium Berrini - 513,"Rua Alcides Lourenço da Rocha, 136 - Brooklin Novo - CEP: 04571-110",2019-04-26,26.42,1.0,Direito de Propriedade,0.000619,0.000627
08.706.065/0001-69,2019-06-30,1,Ibis Budget Paulista - 517,"Rua da Consolação, 2303 - Consolação - CEP: 01301-100",2019-05-07,12.72,1.0,Direito de Propriedade,0.000414,0.000418
08.706.065/0001-69,2019-06-30,1,Intercity Premium Berrini - 601,"Rua Alcides Lourenço da Rocha, 136 - Brooklin Novo - CEP: 04571-110",2019-05-10,26.42,1.0,Direito de Propriedade,0.00054,0.000546
08.706.065/0001-69,2019-06-30,1,Intercity Premium Berrini - 602,"Rua Alcides Lourenço da Rocha, 136 - Brooklin Novo - CEP: 04571-110",2019-05-21,26.42,1.0,Direito de Propriedade,0.000599,0.000605
08.706.065/0001-69,2019-06-30,1,Estanplaza Funchal - 502,"R. Funchal, 281 - vila Olimpia - CEP: 04551-060",2019-05-23,26.55,1.0,Direito de Propriedade,0.001204,0.001216
08.706.065/0001-69,2019-06-30,1,Blue Tree Faria Lima - 1105,"Av. Briga Faria Lima, 3889 - CEP: 04538-133",2019-05-28,25.82,1.0,Direito de Propriedade,0.001076,0.001087
08.706.065/0001-69,2019-09-30,2,Intercity Nações Unidas - 108,"Rua Fernandes Moreira, nº 1371 - São Paulo, SP",2019-09-04,25.35,1.0,Não possui caracteristicas que destoem dos demais,0.0019479407982708,0.0018832230227893
08.706.065/0001-69,2019-12-31,1,Blue Tree Faria Lima - 1204,"Avenida Brigadeiro Faria Lima, nº 3.989",2019-10-03,26.24,1.0,Não possuem características que destoem dos demais,0.0036662678845786,0.0035408262498914
08.706.065/0001-69,2019-12-31,1,Blue Tree Faria Lima - 1502,"Avenida Brigadeiro Faria Lima, nº 3.989",2019-11-04,26.86,1.0,Não possuem características que destoem dos demais,0.0037468005424604,0.0036017676610477
08.924.783/0001-01,2019-03-29,1,Flamengo Park Towers,"Praia do Flamengo 66, , Rio de Janeiro, RJ, 22210-030",2019-02-01,7670.0,26.0,Direito de propriedade,0.057038,0.031016
08.924.783/0001-01,2019-03-29,1,Edifício Cargill,"Av. Morumbi 8234, São Paulo, SP, 02530-000",2019-02-01,10625.81,7.0,Direito de propriedade,0.049145,0.026724
08.924.783/0001-01,2019-03-29,1,Edifício Eldorado Business Tower,"Av. Das Nações Unidas 8501, , São Paulo, SP, 05425-070",2019-02-01,23154.14,30.0,Direito de propriedade,0.182734,0.099365
09.072.017/0001-29,2019-12-31,2,Edifício Delta Plaza (Vendido),Rua Cincinato Braga 340 - São Paulo - SP,2019-12-26,3855.94,16.0,-,0.027623,0.031414
10.427.246/0001-06,2019-03-29,1,TA,"Av. Almirante Barroso 81, , Rio de Janeiro, RJ, 20031-004",2019-02-01,24881.4,1.0,Direito de Propriedade,1.0,0.2237
10.427.246/0001-06,2019-03-29,1,Brazilian Financial Center,"Av. Paulista 1374, , São Paulo, SP, 01310-100",2019-02-01,42612.04,1.0,Direito de Propriedade,0.75,0.5451
10.427.246/0001-06,2019-06-30,1,Brazilian Financial Center,"Av. Paulista 1374, São Paulo, SP, 01310-100",2019-04-22,669.0,1.0,não ha nenhuma caracteristica relevante,0.111647,0.03324
11.945.604/0001-27,2019-03-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2019-01-30,58.02,1.0,TORRE 2 /  unid 2,0.015359,0.0079
11.945.604/0001-27,2019-03-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2019-01-23,56.19,1.0,TORRE 2 /  unid 123,0.010478,0.007
11.945.604/0001-27,2019-03-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2019-01-09,58.02,1.0,TORRE 3 /  unid 35,0.015359,0.0078
11.945.604/0001-27,2019-03-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2019-01-28,58.02,1.0,TORRE 3 /  unid 112,0.015359,0.0098
11.945.604/0001-27,2019-03-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2019-01-31,58.02,1.0,TORRE 4 /  unid 35,0.015359,0.0053
11.945.604/0001-27,2019-03-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2019-02-20,58.02,1.0,TORRE 1 /  unid 115,0.015359,0.0104
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-01-31,76.93,1.0,TORRE 1 /  unid 15,0.019015,0.0001
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-01-09,76.93,1.0,TORRE 1 /  unid 102,0.019015,0.0073
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-01-30,76.93,1.0,TORRE 1 /  unid 145,0.019015,0.0061
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-01-17,66.41,1.0,TORRE 2 /  unid 73,0.016147,0.0005
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-01-29,76.93,1.0,TORRE 2 /  unid 135,0.019015,0.0122
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-01-30,76.93,1.0,TORRE 2 /  unid 164,0.019015,0.0107
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-01-21,66.41,1.0,TORRE 2 /  unid 173,0.016147,0.0068
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-02-13,76.93,1.0,TORRE 2 /  unid 11,0.019015,0.0078
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-02-13,76.93,1.0,TORRE 2 /  unid 155,0.019015,0.0111
11.945.604/0001-27,2019-03-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2019-02-06,76.93,1.0,TORRE 2 /  unid 172,0.019015,0.0093
