CNPJ_Fundo,Data_Referencia,Versao,Mes_Referencia,Percentual_Rentabilidade_Efetiva_Mes,Percentual_Rentabilidade_Auferida_Ausencia_Garantia
07.583.627/0001-61,2018-12-31,1,Não Aplicavel,0.0,0.0
08.417.532/0001-30,2018-03-31,1,03/2018,0.003704,
08.417.532/0001-30,2018-06-30,1,06/2018,0.009394,
08.417.532/0001-30,2018-09-30,1,09/2018,0.018429,
08.417.532/0001-30,2018-12-31,1,12/2018,0.001282,
09.350.920/0001-04,2018-03-31,1,03/2018,0.00784,
10.456.799/0001-89,2018-03-31,1,03/2018,0.003992,
10.456.799/0001-89,2018-06-30,1,06/2018,0.003117,
10.456.799/0001-89,2018-09-30,1,09/2018,0.005441,
10.456.799/0001-89,2018-12-31,1,12/2018,0.224279,
10.456.810/0001-00,2018-03-31,1,03/2018,-9.7e-05,
10.456.810/0001-00,2018-06-30,1,06/2018,0.0014,
10.456.810/0001-00,2018-09-30,1,09/2018,0.003977,
10.456.810/0001-00,2018-12-31,1,12/2018,0.007134,
11.268.335/0001-01,2018-03-29,1,01/2018,0.01246,0.01246
11.268.335/0001-01,2018-03-29,1,02/2018,0.001335,0.001335
11.268.335/0001-01,2018-03-29,1,03/2018,-0.001017,-0.001017
11.268.335/0001-01,2018-06-29,1,04/2018,0.000136,0.000136
11.268.335/0001-01,2018-06-29,1,05/2018,0.007689,0.007689
11.268.335/0001-01,2018-06-29,1,06/2018,-0.063538,-0.063538
11.268.335/0001-01,2018-09-28,1,07/2018,-0.00821,-0.00821
11.268.335/0001-01,2018-09-28,1,08/2018,0.006622,0.006622
11.268.335/0001-01,2018-09-28,1,09/2018,-0.003413,-0.003413
11.268.335/0001-01,2018-12-31,1,10/2018,0.001285,0.001285
11.268.335/0001-01,2018-12-31,1,11/2018,0.001464,0.001464
11.268.335/0001-01,2018-12-31,1,12/2018,0.007329,0.007329
11.281.322/0001-72,2018-03-29,1,01/2018,0.00192,0.00192
11.281.322/0001-72,2018-03-29,1,02/2018,0.001606,0.001606
11.281.322/0001-72,2018-03-29,1,03/2018,0.001757,0.001757
11.281.322/0001-72,2018-06-29,1,04/2018,0.001755,0.001755
11.281.322/0001-72,2018-06-29,1,05/2018,0.001588,0.001588
11.281.322/0001-72,2018-06-29,1,06/2018,0.001822,0.001822
11.281.322/0001-72,2018-09-28,2,07/2018,0.000229,0.000229
11.281.322/0001-72,2018-09-28,2,08/2018,0.002446,0.002446
11.281.322/0001-72,2018-09-28,2,09/2018,-6.3e-05,-6.3e-05
11.281.322/0001-72,2018-12-31,1,10/2018,-0.000122,-0.000122
11.281.322/0001-72,2018-12-31,1,11/2018,0.004466,0.004466
11.281.322/0001-72,2018-12-31,1,12/2018,0.005387,0.005387
12.804.013/0001-00,2018-03-31,1,03/2018,0.002087,0.002087
12.804.013/0001-00,2018-06-30,1,06/2018,0.223465,
12.804.013/0001-00,2018-09-30,1,09/2018,0.001153,
12.804.013/0001-00,2018-12-31,1,12/2018,0.205397,
12.948.291/0001-23,2018-03-31,1,03/2018,0.006245,
13.022.994/0001-99,2018-09-30,1,09/2018,0.005879,
13.022.994/0001-99,2018-12-31,1,12/2018,0.009998,
