CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
14.069.202/0001-02,2019-03-31,1,Imóveis para renda em construção,AQ3 LOG Queimados,,
14.788.458/0001-61,2019-09-30,1,Imóveis para venda em construção,ICONO PARQUE,Andamento da obra em linha com o previsto,
14.788.458/0001-61,2019-12-31,1,Imóveis para venda em construção,ICONO PARQUE,Andamento da obra em linha com o previsto,
15.461.076/0001-91,2019-03-29,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel Royal Tulip,,
15.461.076/0001-91,2019-03-29,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2019-03-29,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2019-03-29,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.461.076/0001-91,2019-03-29,1,Imóveis para renda em construção,64 Unidades Standard no Hotel  Royal Tulip,,
15.461.076/0001-91,2019-03-29,1,Imóveis para renda em construção,51 Unidades  Master no Hotel  Royal Tulip,,
15.461.076/0001-91,2019-06-28,1,Imóveis para renda em construção,51 Unidades  Master no Hotel,,
15.461.076/0001-91,2019-06-28,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,
15.461.076/0001-91,2019-06-28,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2019-06-28,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.461.076/0001-91,2019-06-28,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2019-06-28,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,
15.461.076/0001-91,2019-09-30,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,
15.461.076/0001-91,2019-09-30,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,
15.461.076/0001-91,2019-09-30,1,Imóveis para renda em construção,51 Unidades  Master no Hotel,,
15.461.076/0001-91,2019-09-30,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.461.076/0001-91,2019-09-30,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2019-09-30,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2019-12-31,1,Imóveis para renda em construção,14 unidades Tipo Villas no Hotel Resort  Txai Terravista.,,
15.461.076/0001-91,2019-12-31,1,Imóveis para renda em construção,51 Unidades  Master no Hotel,,
15.461.076/0001-91,2019-12-31,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,
15.461.076/0001-91,2019-12-31,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,
15.461.076/0001-91,2019-12-31,1,Imóveis para renda em construção,02 unidades tipo bangalôs Hotel Resort Txai Terravista,,
15.461.076/0001-91,2019-12-31,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,
15.576.907/0001-70,2019-03-31,1,Imóveis para renda em construção,Pedro Vicente,,
15.576.907/0001-70,2019-03-31,1,Imóveis para renda em construção,Pátio do Colégio,,
15.576.907/0001-70,2019-03-31,1,Imóveis para renda em construção,Estrada do Campo Limpo,,
15.576.907/0001-70,2019-06-30,2,Imóveis para renda em construção,Pátio do Colégio,,
15.576.907/0001-70,2019-06-30,2,Imóveis para renda em construção,Pedro Vicente,,
15.576.907/0001-70,2019-06-30,2,Imóveis para renda em construção,Estrada do Campo Limpo,,
15.576.907/0001-70,2019-09-30,2,Imóveis para renda em construção,Estrada do Campo Limpo,,
