CNPJ_Fundo,Data_Referencia,Versao,Nome_Prestador,CNPJ_Prestador,Endereco,Telefone
11.839.593/0001-09,2017-12-01,3,Itaú Corretora de Valores S.A.,61.194.353/0001-64,"Avenida Brigadeiro Faria Lima 3400, 10º andar, CEP 04310-030, São Paulo - SP",11 3003-9285
12.323.955/0001-69,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
12.323.955/0001-69,2017-12-01,1,Br Malls Administração e Comercialização Sul Ltda,12.531.515/0001-05,Av. Afrânio de Melo Franco 290 Sl 102 a 104 Leblon 22430060 Rio de Janeiro/RJ,(21) 3138-9901
12.323.987/0001-64,2017-12-01,1,CETIP,09.358.105/0001-91,"Alameda Xingu, 350 - Alphaville Industrial, Barueri - SP, 06455-000",(11) 3105-2463
12.323.987/0001-64,2017-12-01,1,COMISSÃO DE VALORES MOBILIÁRIOS,29.507.878/0002-80,"Condomínio Edifício Delta Plaza - R. Cincinato Braga, 340 - Bela Vista, São Paulo - SP",0800 025 9666
12.401.858/0001-47,2017-06-01,1,Gaia Securitizadora S.A,07.587.384/0001-30,"Rua do Rocio nº 288, 1º andar, Vila Olímpia",(11) 3047-1010
12.887.506/0001-43,2017-12-01,1,W&C TEC MONITORAMENTO E INSTALAÇÕES LTDA - ME,14314655000149,"Rua Duarte de Azevedo, nº 521/531, sala 207 - Santana - São Paulo/SP - CEP nº 02036-022",(11) 3360-4396
12.927.767/0001-40,2017-12-01,1,Sunset Vigilancia e Segurança Ltda,7958568000169,"Rua Marquês de Valença, nº 43, A - Tijuca -  Rio de Janeiro/RJ - CEP 20550-030",(21) 25687114
12.927.767/0001-40,2017-12-01,1,Líder Serviços Gerais Eireli,23211179000121,"Avenida Embaixador Abelardo Bueno, 01, BL 01, sala 311E - Jacarepaguá - CEP 22775-022 - Rio de Janeiro",(21)3298-9002
12.927.767/0001-40,2017-12-01,1,Ponto Forte Segurança e Vigilância Ltda.,7499430000149,"Rua Barros Barreto, 79 - Bonsuccesso - CEP 21032-140 - Rio de Janeiro",(21) 2456-5876
12.969.125/0001-03,2017-12-01,1,"Almeida, Rotenberg e Boscoli - Sociedade de Advogados",61074555000172,"Av. Pedroso de Moraes, nº 1.201 - Centro Cultural Ohtake - São Paulo - SP - CEP nº 05419-001",(11) 3356-1800
12.969.125/0001-03,2017-12-01,1,VNP Advogados,3042181000107,"Rua Prof. Atílio Innocenti, 474 - Vila Nova Conceição, São Paulo - SP",(11) 3043-8400
13.022.993/0001-44,2017-12-01,1,VBI REAL ESTATE GESTAO DE CARTEIRAS LTDA,11.274.775/0001-71,"R. Funchal, 418 - Vila Olimpia, São Paulo - SP, 04551-060",(11) 2344-2525
13.551.286/0001-45,2017-12-01,2,CEM CONSTRUTORA LTDA,26.777.206/0001-16,R. Geraldo Flausino Gomes 85 Cidade Monções CEP: 04575-060,(11) 5505-0922
13.966.653/0001-71,2017-12-01,1,CB RICHARD ELLIS LTDA,51.718.575/0002-66,R. Visc de Inhauma 83 14º andar Centro CEP: 20091-007,(21) 2543-4345
13.966.653/0001-71,2017-12-01,1,SEMPRE ENGENHARIA COMERCIO E REPRESENTACOES LTDA,69.066.108/0001-83,R. Paulo de Avelar 250 Parada Inglesa CEP: 02243-010 São Paulo/SP,(11) 2972 - 7260
