CNPJ_Fundo,Data_Referencia,Versao,Numero_Processo,Valores,Causa_Contingencia
08.098.114/0001-28,2016-12-01,1,0313178-23.2009.8.19.0001 (2009.001.314055-0),72761.27,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
08.924.783/0001-01,2016-12-01,1,0011230-59.2009.8.26.0152 (152.01.2009.011230),55098.8,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
08.924.783/0001-01,2016-12-01,1,1039739-95.2016.8.26.0100,757951.18,"Em tese, risco de embargos à execução é se entender que débito questionado na execução correspondente é inexigível, bem como arcar com honorários e custas judiciais."
08.924.783/0001-01,2016-12-01,1,1062877-28.2015.8.26.0100,757951.18,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
08.924.783/0001-01,2016-12-01,1,2016.01.1.032377-2,5164524.54,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
08.924.783/0001-01,2016-12-01,1,1021163-28.2014.8.26.0002,233417.16,"Demanda Revisional, pode alterar o valor do aluguel pago pelo locatário."
08.924.783/0001-01,2016-12-01,1,0039225-05.2012.8.19.0001,884832,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
08.924.783/0001-01,2016-12-01,1,0069046-27.2010.8.26.0002,441147.44,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.276.964/0001-31,2016-12-01,1,1016113-17.2014.8.26.0068,478609.86,"Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.276.964/0001-31,2016-12-01,1,1004471-76.2016.8.26.0068,478609.86,"Em tese, risco de embargos à execução é se entender que débito questionado na execução correspondente é inexigível, bem como arcar com honorários e custas judiciais."
09.326.861/0001-39,2016-12-01,1,0113254-25.2012.8.26.0100,193601.3,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1105211-77.2015.8.26.0100,93309.25,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1007455-68.2015.8.26.0100,124114.92,"Classe de demanda que, em princípio, tem como consequência a continuidade da locação e a definição do novo valor de aluguel."
09.326.861/0001-39,2016-12-01,1,1065688-24.2016.8.26.0100,326479.68,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1064105-04.2016.8.26.0100,32965.04,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
