,CNPJ_Gestor,Nome_Gestor,0
274,18606232000153,reag investimentos ltda,8
275,18606232000153,reag investimentos ltda.,1
276,18945670000146,inter distribuidora de títulos e valores,3
277,18945670000146,inter distribuidora de títulos e valores mobiliários,8
278,18945670000146,inter distribuidora de títulos e valores mobiliários ltda,5
279,18966436000103,brick investimento e gestão de recursos ltda.,1
280,18966436000103,cartesia investimentos e gestão de recursos ltda,1
281,19037127000103,cadence gestora de recursos ltda,7
282,19408687000127,ccf investimentos ltda,5
283,19807499000171,iron capital gestão de recursos ltda.,3
284,19807499000171, iron capital gestão de recursos ltda.,1
285,20105116000100,"goodman consultoria, part. e adm. de val.mobiliários ltda",2
286,20105116000100,"goodman consultoria, participação e administração de valores mobiliários ltda",6
287,20445963000194,legatus gestora de recursos ltda,4
288,20445967000194,legatus asset management,3
289,20445967000194,legatus gestora de recursos ltda,3
290,21008985000171,leste credit gestão de recursos ltda.,4
291,21046086000163,id gestora de recursos ltda,1
292,21046086000163,id gestora e administradora de recursos,2
293,21163346000180,scai gestora de recursos ltda,4
294,21180163000173,mam asset management gestora de recursos ltda.,6
295,21543857000128,vela invest,1
296,21543857000128,vela investimentos e consultoria ltda,4
297,21747959000165,barzel properties gestora de recursos ltda,3
298,21950366000100,alianza gestao de recursos ltda,2
299,21950366000100,alianza gestão de recursos ltda,15
300,21950366000100,alianza gestão de recursos ltda.,2
301,22119959000183,brpp gestao de produtos estruturados ltda,5
302,22119959000183,brpp gestão de produtos,2
303,22119959000183,brpp gestão de produtos estruturados ltda,36
304,22119959000183,brpp gestão de produtos estruturadosltda,3
305,22119959000183,genial gestao ltda,1
306,22119959000183,genial gestão ltda,18
307,22134302000195,lakewood gestão de recursos ltda.,1
308,22610500000188,northwest gestão de recursos e investimentos,2
309,22610500000188,vela investimentos e consultoria ltda,2
310,22610500000188,vortx distribuidora de titulos e valores mobiliarios ltda.,1
311,22610500000188,vortx distribuidora de títulos e valores mobiliários ltda.,1
312,22610500000188,vórtx distribuidora de títulos e valores mobiliários ltda,1
313,22828968000143,rec gestão de recursos s.a,2
314,22828968000143,rec gestão de recusos s.a,1
315,22982166000108,bluecap gestão de recursos ltda,1
316,22982166000108,bluecap gestão de recursos ltda.,1
317,22982196000108,bluecap gestao de recursosltda.,1
318,23025053000162,brl trust investimentos ltda,1
319,23398913000103,faria lima capital ltda,3
320,23863529000134,23.863.529/0001-34,1
321,23863529000134,reag administradora de recursos ltda,24
322,23863529000134,reag administradora de recursos ltda.,3
323,24503059000160,cix capital gestão de ativos ltda,7
324,24515907000151,atrio gestora de ativos ltda.,3
325,25287778000154,sdi gestão e consultoria de investimentos ltda,1
326,25287778000154,tellus investimentos e consultoria ltda,3
327,25370971000154,enforce gestao de ativos s.a.,1
328,26002371000104,rio bravo investimentos ltda,1
329,26032552000175,jacarandá capital e gestão ltda,1
330,26032552000175,jacarandá capital e gestão ltda.,1
331,26843225000101,hedge investments real,1
332,26843225000101,hedge investments real estate gestão de recursos,1
333,26843225000101,hedge investments real estate gestão de recursos ltda,33
334,26843225000101,hedge investments real estate gestão de recursos ltda.,14
335,27028424000110,iridium gestao de recursos ltda epp,4
336,27028424000110,iridium gestão de recursos ltda epp,1
337,27445498000152,astor gestao de recursos ltda,1
338,27652684000162,genial investimentos corretora de valores mobiliários s.a.,2
339,27652684000162,geração futuro corretora de valores s.a.,4
340,27690986000125,arc capital ltda.,3
341,27946859000144,genial gestão de patrimônio ltda.,2
342,28097963000174,aram capital gestão de recursos ltda,1
343,28097963000174,sueste capital gestão de recursos ltda,1
344,28156057000101,banestes distribuidora de títulos e valores mobiliários s.a,4
345,28156057000101,banestes distribuidora de títulos imobiliarios e valores mobiliarios s.a,1
346,28264093000180,smart agro investimentos ltda,6
347,28264093000180,smart agro investimentos ltda.,2
348,28363263000184,devant asset,2
349,28363263000184,devant asset investimentos ltda,1
350,28529686000121,wnt gestora de recursos ltda,7
351,28529686000140,wnt gestora de recursos,1
352,29036872000191,sueste capital gestao de recursos ltda,1
353,29036872000191,sueste capital gestão de recursos ltda.,1
354,29738952000199,serpros fundo multipatrocinado,1
355,29976481000157,catuaí gestora de recursos ltda,3
356,30032993000144,housi gestão patrimonial ltda.,2
357,30186560000143,habitat capital partners asset management ltda,5
358,30406191000157,v&b gestao de patrimonio ltda,1
359,30418084000149,exante asset management ltda.,1
360,30822936000169,bb gestão de recursos dtvm s.a.,4
361,31230324000140,hectare capital gestora de recursos ltda,17
